School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2010-2011,OREGON,4103330,Condon SD 25J,,,583,Mathematics,55-59,65,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103330,Condon SD 25J,,,584,Reading/Language Arts,80-84,69,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103660,Coos Bay SD 9,,,583,Mathematics,52,1725,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103660,Coos Bay SD 9,,,584,Reading/Language Arts,73,1724,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103390,Coquille SD 8,,,583,Mathematics,52,475,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103390,Coquille SD 8,,,584,Reading/Language Arts,73,476,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103420,Corbett SD 39,,,583,Mathematics,63,508,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103420,Corbett SD 39,,,584,Reading/Language Arts,83,510,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103480,Corvallis SD 509J,,,583,Mathematics,72,3338,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103480,Corvallis SD 509J,,,584,Reading/Language Arts,88,3300,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103540,Cove SD 15,,,583,Mathematics,55-59,135,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103540,Cove SD 15,,,584,Reading/Language Arts,70-74,141,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103690,Creswell SD 40,,,583,Mathematics,55,722,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103690,Creswell SD 40,,,584,Reading/Language Arts,81,724,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103720,Crook County SD,,,583,Mathematics,52,1612,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103720,Crook County SD,,,584,Reading/Language Arts,78,1620,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103780,Crow-Applegate-Lorane SD 66,,,583,Mathematics,55-59,174,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103780,Crow-Applegate-Lorane SD 66,,,584,Reading/Language Arts,90-94,174,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103840,Culver SD 4,,,583,Mathematics,56,359,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103840,Culver SD 4,,,584,Reading/Language Arts,72,360,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103860,Dallas SD 2,,,583,Mathematics,55,1705,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103860,Dallas SD 2,,,584,Reading/Language Arts,79,1701,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103940,David Douglas SD 40,,,583,Mathematics,58,5729,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103940,David Douglas SD 40,,,584,Reading/Language Arts,75,5665,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103990,Dayton SD 8,,,583,Mathematics,47,514,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103990,Dayton SD 8,,,584,Reading/Language Arts,75,511,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104020,Dayville SD 16J,,,583,Mathematics,40-59,30,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104020,Dayville SD 16J,,,584,Reading/Language Arts,GE80,30,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104170,Diamond SD 7,,,583,Mathematics,GE50,14,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104170,Diamond SD 7,,,584,Reading/Language Arts,GE50,14,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104290,Double O SD 28,,,583,Mathematics,PS,1,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104290,Double O SD 28,,,584,Reading/Language Arts,PS,1,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103960,Douglas County SD 15,,,583,Mathematics,50-54,107,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103960,Douglas County SD 15,,,584,Reading/Language Arts,70-74,107,,All Students,All Students,,All Grades,Reading/Language Arts,,
